"ID";"Bedrijfskenmerken";"Perioden";"OpenstaandeVacatures_1";"OntstaneVacatures_2";"VervuldeVacatures_3"
"3674";"391705 ";"2013KW04";"     0.6";"       1";"       1"
"3675";"391705 ";"2013JJ00";"     0.5";"       4";"       4"
"3676";"391705 ";"2014KW01";"     0.6";"       1";"       1"
"3677";"391705 ";"2014KW02";"     1.0";"       1";"       1"
"3678";"391705 ";"2014KW03";"     0.7";"       1";"       1"
"3679";"391705 ";"2014KW04";"     1.0";"       1";"       1"
"3680";"391705 ";"2014JJ00";"     0.8";"       5";"       4"
"3681";"391705 ";"2015KW01";"     0.6";"       1";"       1"
"3682";"391705 ";"2015KW02";"     0.8";"       1";"       1"
"3683";"391705 ";"2015KW03";"     0.5";"       1";"       1"
"3684";"391705 ";"2015KW04";"     0.7";"       1";"       1"
"3685";"391705 ";"2015JJ00";"     0.7";"       4";"       5"
"3686";"391705 ";"2016KW01";"     0.9";"       2";"       2"
"3687";"391705 ";"2016KW02";"     1.2";"       1";"       1"
"3688";"391705 ";"2016KW03";"     1.2";"       2";"       2"
"3689";"391705 ";"2016KW04";"     1.1";"       2";"       2"
"3690";"391705 ";"2016JJ00";"     1.0";"       7";"       7"
"3691";"391705 ";"2017KW01";"     1.2";"       2";"       2"
"3692";"391705 ";"2017KW02";"     1.3";"       2";"       2"
"3693";"391705 ";"2017KW03";"     1.1";"       1";"       2"
"3694";"391705 ";"2017KW04";"     1.2";"       1";"       1"
"3695";"391705 ";"2017JJ00";"     1.2";"       7";"       6"
"3696";"391705 ";"2018KW01";"     1.4";"       2";"       2"
"3697";"391705 ";"2018KW02";"     1.5";"       2";"       2"
"3698";"391705 ";"2018KW03";"     1.1";"       1";"       2"
"3699";"391705 ";"2018KW04";"     1.4";"       2";"       2"
"3700";"391705 ";"2018JJ00";"     1.3";"       7";"       7"
"3701";"391705 ";"2019KW01";"     1.7";"       2";"       2"
"3702";"391705 ";"2019KW02";"     1.8";"       3";"       2"
"3703";"391705 ";"2019KW03";"     1.4";"       2";"       2"
"3704";"391705 ";"2019KW04";"     1.5";"       2";"       2"
"3705";"391705 ";"2019JJ00";"     1.6";"       9";"       9"
"3706";"391705 ";"2020KW01";"     1.2";"       2";"       2"
"3707";"391705 ";"2020KW02";"     0.7";"       1";"       1"
"3708";"391705 ";"2020KW03";"     0.8";"       1";"       1"
"3709";"391705 ";"2020KW04";"     1.0";"       1";"       1"
"3710";"391705 ";"2020JJ00";"     1.0";"       5";"       6"
"3711";"391705 ";"2021KW01";"     1.4";"       2";"       2"
"3712";"391705 ";"2021KW02";"     2.0";"       3";"       2"
"3713";"391705 ";"2021KW03";"     2.0";"       3";"       3"
"3714";"391705 ";"2021KW04";"     2.0";"       2";"       3"
"3715";"391705 ";"2021JJ00";"     1.7";"      10";"      10"
"3716";"391705 ";"2022KW01";"     2.0";"       2";"       2"
"3717";"391705 ";"2022KW02";"     2.8";"       2";"       2"
"3718";"391705 ";"2022KW03";"     2.0";"       2";"       3"
"3719";"391705 ";"2022KW04";"     1.5";"       1";"       2"
"3720";"391705 ";"2022JJ00";"     2.1";"       8";"       8"
"3721";"391705 ";"2023KW01";"     1.9";"       2";"       2"
"3722";"391705 ";"2023KW02";"     2.0";"       2";"       2"
"3723";"391705 ";"2023KW03";"     1.6";"       2";"       2"
"3724";"396300 ";"1997KW01";"     4.1";"       5";"       4"
"3725";"396300 ";"1997KW02";"     4.6";"       5";"       5"
"3726";"396300 ";"1997KW03";"     3.5";"       5";"       6"
"3727";"396300 ";"1997KW04";"     4.8";"       6";"       4"
"3728";"396300 ";"1997JJ00";"       .";"      20";"      19"
"3729";"396300 ";"1998KW01";"     4.5";"       5";"       5"
"3730";"396300 ";"1998KW02";"     5.3";"       6";"       6"
"3731";"396300 ";"1998KW03";"     4.5";"       5";"       6"
"3732";"396300 ";"1998KW04";"     5.4";"       6";"       5"
"3733";"396300 ";"1998JJ00";"     4.9";"      22";"      21"
"3734";"396300 ";"1999KW01";"     5.2";"       8";"       8"
"3735";"396300 ";"1999KW02";"     8.9";"      10";"       7"
"3736";"396300 ";"1999KW03";"     5.9";"       5";"       8"
"3737";"396300 ";"1999KW04";"     6.0";"       7";"       7"
"3738";"396300 ";"1999JJ00";"     6.4";"      30";"      29"
"3739";"396300 ";"2000KW01";"     9.2";"      12";"       8"
"3740";"396300 ";"2000KW02";"     7.6";"       7";"       9"
"3741";"396300 ";"2000KW03";"     5.9";"       6";"       8"
"3742";"396300 ";"2000KW04";"     8.2";"      10";"       8"
"3743";"396300 ";"2000JJ00";"     7.5";"      35";"      32"
"3744";"396300 ";"2001KW01";"     8.4";"       9";"       9"
"3745";"396300 ";"2001KW02";"     7.6";"       7";"       8"
"3746";"396300 ";"2001KW03";"     6.0";"       7";"       8"
"3747";"396300 ";"2001KW04";"     7.7";"       8";"       7"
"3748";"396300 ";"2001JJ00";"     7.5";"      32";"      32"
"3749";"396300 ";"2002KW01";"     6.1";"       5";"       7"
"3750";"396300 ";"2002KW02";"     4.9";"       5";"       6"
"3751";"396300 ";"2002KW03";"     3.1";"       4";"       5"
"3752";"396300 ";"2002KW04";"     3.5";"       5";"       4"
"3753";"396300 ";"2002JJ00";"     4.9";"      19";"      23"
"3754";"396300 ";"2003KW01";"     4.3";"       5";"       4"
"3755";"396300 ";"2003KW02";"     4.1";"       5";"       5"
"3756";"396300 ";"2003KW03";"     3.6";"       4";"       4"
