"ID";"Bedrijfskenmerken";"Perioden";"OpenstaandeVacatures_1";"OntstaneVacatures_2";"VervuldeVacatures_3"
"1208";"300023 ";"1999KW02";"     4.2";"       5";"       4"
"1209";"300023 ";"1999KW03";"     4.1";"       4";"       5"
"1210";"300023 ";"1999KW04";"     4.3";"       4";"       4"
"1211";"300023 ";"1999JJ00";"     3.9";"      18";"      17"
"1212";"300023 ";"2000KW01";"     5.3";"       6";"       5"
"1213";"300023 ";"2000KW02";"     6.2";"       6";"       5"
"1214";"300023 ";"2000KW03";"     4.5";"       4";"       6"
"1215";"300023 ";"2000KW04";"     4.5";"       5";"       5"
"1216";"300023 ";"2000JJ00";"     5.1";"      21";"      21"
"1217";"300023 ";"2001KW01";"     4.3";"       5";"       5"
"1218";"300023 ";"2001KW02";"     4.2";"       4";"       4"
"1219";"300023 ";"2001KW03";"     3.4";"       3";"       4"
"1220";"300023 ";"2001KW04";"     3.1";"       3";"       3"
"1221";"300023 ";"2001JJ00";"     3.9";"      15";"      16"
"1222";"300023 ";"2002KW01";"     3.2";"       3";"       3"
"1223";"300023 ";"2002KW02";"     2.7";"       3";"       3"
"1224";"300023 ";"2002KW03";"     1.7";"       2";"       3"
"1225";"300023 ";"2002KW04";"     1.8";"       2";"       2"
"1226";"300023 ";"2002JJ00";"     2.5";"      10";"      12"
"1227";"300023 ";"2003KW01";"     1.6";"       3";"       3"
"1228";"300023 ";"2003KW02";"     1.6";"       2";"       2"
"1229";"300023 ";"2003KW03";"     1.3";"       2";"       2"
"1230";"300023 ";"2003KW04";"     1.6";"       2";"       2"
"1231";"300023 ";"2003JJ00";"     1.5";"       9";"       9"
"1232";"300023 ";"2004KW01";"     1.9";"       3";"       2"
"1233";"300023 ";"2004KW02";"     1.8";"       3";"       3"
"1234";"300023 ";"2004KW03";"     1.3";"       2";"       3"
"1235";"300023 ";"2004KW04";"     1.6";"       2";"       2"
"1236";"300023 ";"2004JJ00";"     1.6";"      10";"      10"
"1237";"300023 ";"2005KW01";"     1.7";"       3";"       2"
"1238";"300023 ";"2005KW02";"     2.1";"       3";"       3"
"1239";"300023 ";"2005KW03";"     2.3";"       3";"       3"
"1240";"300023 ";"2005KW04";"     2.6";"       4";"       3"
"1241";"300023 ";"2005JJ00";"     2.1";"      12";"      11"
"1242";"300023 ";"2006KW01";"     2.7";"       4";"       3"
"1243";"300023 ";"2006KW02";"     3.3";"       4";"       3"
"1244";"300023 ";"2006KW03";"     3.6";"       4";"       4"
"1245";"300023 ";"2006KW04";"     4.1";"       4";"       4"
"1246";"300023 ";"2006JJ00";"     3.2";"      15";"      14"
"1247";"300023 ";"2007KW01";"     4.5";"       5";"       5"
"1248";"300023 ";"2007KW02";"     3.9";"       4";"       5"
"1249";"300023 ";"2007KW03";"     4.1";"       4";"       4"
"1250";"300023 ";"2007KW04";"     4.0";"       4";"       4"
"1251";"300023 ";"2007JJ00";"     4.1";"      17";"      17"
"1252";"300023 ";"2008KW01";"     4.3";"       4";"       4"
"1253";"300023 ";"2008KW02";"     4.0";"       4";"       4"
"1254";"300023 ";"2008KW03";"     3.6";"       3";"       4"
"1255";"300023 ";"2008KW04";"     2.3";"       2";"       4"
"1256";"300023 ";"2008JJ00";"     3.8";"      13";"      15"
"1257";"300023 ";"2009KW01";"     1.6";"       2";"       3"
"1258";"300023 ";"2009KW02";"     1.2";"       2";"       2"
"1259";"300023 ";"2009KW03";"     1.5";"       2";"       1"
"1260";"300023 ";"2009KW04";"     1.2";"       1";"       2"
"1261";"300023 ";"2009JJ00";"     1.5";"       6";"       8"
"1262";"300023 ";"2010KW01";"     1.3";"       2";"       2"
"1263";"300023 ";"2010KW02";"     1.6";"       2";"       2"
"1264";"300023 ";"2010KW03";"     1.7";"       2";"       2"
"1265";"300023 ";"2010KW04";"     1.9";"       2";"       2"
"1266";"300023 ";"2010JJ00";"     1.6";"       7";"       6"
"1267";"300023 ";"2011KW01";"     1.9";"       2";"       2"
"1268";"300023 ";"2011KW02";"     2.4";"       3";"       2"
"1269";"300023 ";"2011KW03";"     2.0";"       2";"       2"
"1270";"300023 ";"2011KW04";"     1.9";"       2";"       2"
"1271";"300023 ";"2011JJ00";"     2.1";"       9";"       9"
"1272";"300023 ";"2012KW01";"     1.7";"       2";"       2"
"1273";"300023 ";"2012KW02";"     1.4";"       1";"       2"
"1274";"300023 ";"2012KW03";"     1.2";"       1";"       1"
"1275";"300023 ";"2012KW04";"     1.3";"       1";"       1"
"1276";"300023 ";"2012JJ00";"     1.5";"       6";"       6"
"1277";"300023 ";"2013KW01";"     0.9";"       1";"       2"
"1278";"300023 ";"2013KW02";"     1.3";"       2";"       1"
"1279";"300023 ";"2013KW03";"     1.3";"       1";"       1"
"1280";"300023 ";"2013KW04";"     1.5";"       2";"       2"
"1281";"300023 ";"2013JJ00";"     1.2";"       6";"       6"
"1282";"300023 ";"2014KW01";"     1.6";"       2";"       2"
"1283";"300023 ";"2014KW02";"     1.5";"       1";"       2"
"1284";"300023 ";"2014KW03";"     1.5";"       1";"       1"
"1285";"300023 ";"2014KW04";"     1.3";"       1";"       1"
"1286";"300023 ";"2014JJ00";"     1.5";"       6";"       6"
"1287";"300023 ";"2015KW01";"     1.7";"       2";"       2"
"1288";"300023 ";"2015KW02";"     2.0";"       3";"       2"
"1289";"300023 ";"2015KW03";"     1.6";"       2";"       3"
"1290";"300023 ";"2015KW04";"     1.8";"       2";"       2"
"1291";"300023 ";"2015JJ00";"     1.7";"       9";"       8"
"1292";"300023 ";"2016KW01";"     2.1";"       2";"       2"
"1293";"300023 ";"2016KW02";"     2.0";"       2";"       2"
"1294";"300023 ";"2016KW03";"     2.1";"       3";"       2"
"1295";"300023 ";"2016KW04";"     2.0";"       2";"       2"
"1296";"300023 ";"2016JJ00";"     2.1";"       9";"       8"
"1297";"300023 ";"2017KW01";"     2.2";"       2";"       2"
"1298";"300023 ";"2017KW02";"     2.3";"       3";"       3"
"1299";"300023 ";"2017KW03";"     2.6";"       2";"       2"
"1300";"300023 ";"2017KW04";"     2.5";"       2";"       2"
"1301";"300023 ";"2017JJ00";"     2.3";"      10";"       9"
"1302";"300023 ";"2018KW01";"     2.7";"       2";"       2"
"1303";"300023 ";"2018KW02";"     3.5";"       3";"       3"
"1304";"300023 ";"2018KW03";"     2.9";"       2";"       3"
"1305";"300023 ";"2018KW04";"     2.9";"       3";"       3"
"1306";"300023 ";"2018JJ00";"     3.0";"      10";"      10"
"1307";"300023 ";"2019KW01";"     3.2";"       3";"       3"
"1308";"300023 ";"2019KW02";"     3.8";"       3";"       3"
"1309";"300023 ";"2019KW03";"     3.4";"       3";"       3"
"1310";"300023 ";"2019KW04";"     3.5";"       3";"       3"
"1311";"300023 ";"2019JJ00";"     3.4";"      12";"      11"
"1312";"300023 ";"2020KW01";"     2.4";"       2";"       3"
"1313";"300023 ";"2020KW02";"     2.0";"       2";"       3"
"1314";"300023 ";"2020KW03";"     2.6";"       3";"       2"
"1315";"300023 ";"2020KW04";"     2.3";"       2";"       2"
"1316";"300023 ";"2020JJ00";"     2.5";"       9";"      10"
"1317";"300023 ";"2021KW01";"     2.8";"       2";"       2"
"1318";"300023 ";"2021KW02";"     3.4";"       3";"       3"
"1319";"300023 ";"2021KW03";"     4.0";"       4";"       3"
"1320";"300023 ";"2021KW04";"     4.0";"       3";"       3"
"1321";"300023 ";"2021JJ00";"     3.3";"      12";"      10"
"1322";"300023 ";"2022KW01";"     4.8";"       4";"       3"
"1323";"300023 ";"2022KW02";"     5.4";"       3";"       3"
"1324";"300023 ";"2022KW03";"     4.8";"       3";"       4"
"1325";"300023 ";"2022KW04";"     4.6";"       3";"       3"
"1326";"300023 ";"2022JJ00";"     4.8";"      13";"      12"
"1327";"300023 ";"2023KW01";"     4.6";"       3";"       3"
"1328";"300023 ";"2023KW02";"     4.6";"       3";"       3"
"1329";"300023 ";"2023KW03";"     4.6";"       3";"       3"
"1330";"346600 ";"1997KW01";"     0.4";"       0";"       0"
"1331";"346600 ";"1997KW02";"     0.5";"       0";"       0"
"1332";"346600 ";"1997KW03";"     0.4";"       0";"       0"
"1333";"346600 ";"1997KW04";"     0.4";"       0";"       0"
"1334";"346600 ";"1997JJ00";"       .";"       1";"       1"
"1335";"346600 ";"1998KW01";"     0.4";"       0";"       0"
"1336";"346600 ";"1998KW02";"     0.5";"       0";"       0"
"1337";"346600 ";"1998KW03";"     0.4";"       0";"       0"
"1338";"346600 ";"1998KW04";"     0.4";"       0";"       0"
"1339";"346600 ";"1998JJ00";"     0.4";"       1";"       1"
"1340";"346600 ";"1999KW01";"     0.5";"       0";"       0"
"1341";"346600 ";"1999KW02";"     0.5";"       0";"       0"
"1342";"346600 ";"1999KW03";"     0.3";"       0";"       0"
"1343";"346600 ";"1999KW04";"     0.4";"       0";"       0"
"1344";"346600 ";"1999JJ00";"     0.4";"       1";"       1"
"1345";"346600 ";"2000KW01";"     0.5";"       0";"       0"
"1346";"346600 ";"2000KW02";"     0.5";"       1";"       0"
"1347";"346600 ";"2000KW03";"     0.3";"       0";"       0"
"1348";"346600 ";"2000KW04";"     0.4";"       0";"       0"
"1349";"346600 ";"2000JJ00";"     0.4";"       2";"       2"
"1350";"346600 ";"2001KW01";"     0.6";"       1";"       0"
"1351";"346600 ";"2001KW02";"     0.4";"       0";"       0"
"1352";"346600 ";"2001KW03";"     0.4";"       0";"       0"
"1353";"346600 ";"2001KW04";"     0.5";"       0";"       0"
"1354";"346600 ";"2001JJ00";"     0.5";"       2";"       2"
"1355";"346600 ";"2002KW01";"     0.4";"       0";"       0"
"1356";"346600 ";"2002KW02";"     0.4";"       0";"       0"
"1357";"346600 ";"2002KW03";"     0.3";"       0";"       0"
"1358";"346600 ";"2002KW04";"     0.2";"       0";"       0"
"1359";"346600 ";"2002JJ00";"     0.4";"       1";"       1"
"1360";"346600 ";"2003KW01";"     0.3";"       0";"       0"
"1361";"346600 ";"2003KW02";"     0.2";"       0";"       0"
"1362";"346600 ";"2003KW03";"     0.3";"       0";"       0"
"1363";"346600 ";"2003KW04";"     0.3";"       0";"       0"
"1364";"346600 ";"2003JJ00";"     0.3";"       1";"       1"
"1365";"346600 ";"2004KW01";"     0.3";"       0";"       0"
"1366";"346600 ";"2004KW02";"     0.3";"       0";"       0"
"1367";"346600 ";"2004KW03";"     0.2";"       0";"       0"
"1368";"346600 ";"2004KW04";"     0.4";"       1";"       1"
"1369";"346600 ";"2004JJ00";"     0.3";"       2";"       1"
"1370";"346600 ";"2005KW01";"     0.3";"       0";"       1"
"1371";"346600 ";"2005KW02";"     0.4";"       0";"       0"
"1372";"346600 ";"2005KW03";"     0.3";"       0";"       0"
"1373";"346600 ";"2005KW04";"     0.4";"       1";"       1"
"1374";"346600 ";"2005JJ00";"     0.3";"       2";"       2"
"1375";"346600 ";"2006KW01";"     0.6";"       1";"       1"
"1376";"346600 ";"2006KW02";"     0.6";"       1";"       1"
"1377";"346600 ";"2006KW03";"     0.6";"       1";"       1"
"1378";"346600 ";"2006KW04";"     0.6";"       1";"       1"
"1379";"346600 ";"2006JJ00";"     0.6";"       3";"       3"
"1380";"346600 ";"2007KW01";"     0.6";"       1";"       1"
"1381";"346600 ";"2007KW02";"     0.8";"       1";"       1"
"1382";"346600 ";"2007KW03";"     0.9";"       1";"       1"
"1383";"346600 ";"2007KW04";"     0.9";"       1";"       1"
"1384";"346600 ";"2007JJ00";"     0.8";"       3";"       3"
"1385";"346600 ";"2008KW01";"     0.8";"       1";"       1"
"1386";"346600 ";"2008KW02";"     0.9";"       1";"       1"
"1387";"346600 ";"2008KW03";"     0.9";"       1";"       1"
"1388";"346600 ";"2008KW04";"     0.7";"       1";"       1"
"1389";"346600 ";"2008JJ00";"     0.8";"       3";"       3"
"1390";"346600 ";"2009KW01";"     0.6";"       1";"       1"
"1391";"346600 ";"2009KW02";"     0.7";"       1";"       1"
"1392";"346600 ";"2009KW03";"     0.6";"       1";"       1"
"1393";"346600 ";"2009KW04";"     0.6";"       0";"       0"
"1394";"346600 ";"2009JJ00";"     0.7";"       2";"       2"
"1395";"346600 ";"2010KW01";"     0.8";"       1";"       0"
"1396";"346600 ";"2010KW02";"     0.8";"       1";"       1"
"1397";"346600 ";"2010KW03";"     0.7";"       0";"       0"
"1398";"346600 ";"2010KW04";"     0.9";"       1";"       0"
"1399";"346600 ";"2010JJ00";"     0.8";"       2";"       2"
"1400";"346600 ";"2011KW01";"     0.8";"       0";"       1"
"1401";"346600 ";"2011KW02";"     0.7";"       1";"       1"
"1402";"346600 ";"2011KW03";"     0.6";"       1";"       1"
"1403";"346600 ";"2011KW04";"     0.6";"       1";"       1"
"1404";"346600 ";"2011JJ00";"     0.7";"       2";"       2"
"1405";"346600 ";"2012KW01";"     0.5";"       1";"       1"
"1406";"346600 ";"2012KW02";"     0.6";"       0";"       0"
"1407";"346600 ";"2012KW03";"     0.5";"       0";"       0"
"1408";"346600 ";"2012KW04";"     0.3";"       0";"       0"
"1409";"346600 ";"2012JJ00";"     0.5";"       2";"       2"
"1410";"346600 ";"2013KW01";"     0.5";"       1";"       0"
"1411";"346600 ";"2013KW02";"     0.6";"       1";"       1"
"1412";"346600 ";"2013KW03";"     0.5";"       0";"       1"
"1413";"346600 ";"2013KW04";"     0.3";"       0";"       0"
"1414";"346600 ";"2013JJ00";"     0.5";"       2";"       2"
"1415";"346600 ";"2014KW01";"     0.3";"       0";"       0"
"1416";"346600 ";"2014KW02";"     0.5";"       1";"       1"
"1417";"346600 ";"2014KW03";"     0.6";"       1";"       0"
"1418";"346600 ";"2014KW04";"     0.4";"       0";"       1"
"1419";"346600 ";"2014JJ00";"     0.5";"       2";"       2"
"1420";"346600 ";"2015KW01";"     0.6";"       1";"       0"
"1421";"346600 ";"2015KW02";"     0.6";"       1";"       1"
"1422";"346600 ";"2015KW03";"     0.4";"       1";"       1"
"1423";"346600 ";"2015KW04";"     0.8";"       1";"       1"
"1424";"346600 ";"2015JJ00";"     0.5";"       3";"       2"
"1425";"346600 ";"2016KW01";"     0.7";"       1";"       1"
"1426";"346600 ";"2016KW02";"     0.7";"       1";"       1"
"1427";"346600 ";"2016KW03";"     0.8";"       1";"       1"
"1428";"346600 ";"2016KW04";"     0.9";"       1";"       1"
"1429";"346600 ";"2016JJ00";"     0.7";"       2";"       2"
"1430";"346600 ";"2017KW01";"     0.7";"       1";"       1"
"1431";"346600 ";"2017KW02";"     0.6";"       1";"       1"
"1432";"346600 ";"2017KW03";"     0.5";"       1";"       1"
"1433";"346600 ";"2017KW04";"     0.6";"       1";"       1"
"1434";"346600 ";"2017JJ00";"     0.6";"       2";"       3"
"1435";"346600 ";"2018KW01";"     0.7";"       1";"       1"
"1436";"346600 ";"2018KW02";"     0.7";"       1";"       1"
"1437";"346600 ";"2018KW03";"     0.8";"       1";"       1"
"1438";"346600 ";"2018KW04";"     0.8";"       1";"       1"
"1439";"346600 ";"2018JJ00";"     0.7";"       3";"       3"
"1440";"346600 ";"2019KW01";"     0.9";"       1";"       1"
"1441";"346600 ";"2019KW02";"     0.9";"       1";"       1"
"1442";"346600 ";"2019KW03";"     1.0";"       1";"       1"
"1443";"346600 ";"2019KW04";"     1.2";"       1";"       1"
"1444";"346600 ";"2019JJ00";"     0.9";"       3";"       3"
"1445";"346600 ";"2020KW01";"     1.2";"       1";"       1"
"1446";"346600 ";"2020KW02";"     1.1";"       1";"       1"
"1447";"346600 ";"2020KW03";"     1.0";"       1";"       1"
"1448";"346600 ";"2020KW04";"     1.1";"       1";"       1"
"1449";"346600 ";"2020JJ00";"     1.1";"       4";"       4"
"1450";"346600 ";"2021KW01";"     1.0";"       1";"       1"
"1451";"346600 ";"2021KW02";"     1.3";"       2";"       1"
"1452";"346600 ";"2021KW03";"     1.6";"       1";"       1"
"1453";"346600 ";"2021KW04";"     1.7";"       2";"       2"
"1454";"346600 ";"2021JJ00";"     1.3";"       6";"       5"
"1455";"346600 ";"2022KW01";"     2.2";"       2";"       1"
"1456";"346600 ";"2022KW02";"     2.6";"       2";"       2"
"1457";"346600 ";"2022KW03";"     1.8";"       1";"       2"
"1458";"346600 ";"2022KW04";"     2.0";"       2";"       2"
"1459";"346600 ";"2022JJ00";"     2.1";"       7";"       7"
"1460";"346600 ";"2023KW01";"     2.3";"       3";"       2"
"1461";"346600 ";"2023KW02";"     2.3";"       3";"       3"
"1462";"346600 ";"2023KW03";"     2.4";"       3";"       3"
"1463";"348000 ";"1997KW01";"     0.6";"       1";"       1"
"1464";"348000 ";"1997KW02";"     0.9";"       1";"       1"
"1465";"348000 ";"1997KW03";"     0.7";"       1";"       1"
"1466";"348000 ";"1997KW04";"     0.9";"       1";"       1"
"1467";"348000 ";"1997JJ00";"       .";"       4";"       3"
"1468";"348000 ";"1998KW01";"     1.0";"       1";"       1"
"1469";"348000 ";"1998KW02";"     1.7";"       2";"       1"
"1470";"348000 ";"1998KW03";"     0.7";"       1";"       1"
"1471";"348000 ";"1998KW04";"     0.9";"       1";"       1"
"1472";"348000 ";"1998JJ00";"     1.1";"       5";"       5"
"1473";"348000 ";"1999KW01";"     1.0";"       1";"       1"
"1474";"348000 ";"1999KW02";"     1.1";"       1";"       1"
"1475";"348000 ";"1999KW03";"     0.9";"       1";"       1"
"1476";"348000 ";"1999KW04";"     1.1";"       1";"       1"
"1477";"348000 ";"1999JJ00";"     1.0";"       5";"       5"
"1478";"348000 ";"2000KW01";"     1.2";"       1";"       1"
"1479";"348000 ";"2000KW02";"     1.4";"       1";"       1"
"1480";"348000 ";"2000KW03";"     0.9";"       1";"       2"
"1481";"348000 ";"2000KW04";"     1.3";"       2";"       1"
"1482";"348000 ";"2000JJ00";"     1.2";"       5";"       5"
"1483";"348000 ";"2001KW01";"     1.3";"       1";"       1"
"1484";"348000 ";"2001KW02";"     1.4";"       2";"       1"
"1485";"348000 ";"2001KW03";"     1.1";"       1";"       1"
"1486";"348000 ";"2001KW04";"     1.3";"       1";"       1"
"1487";"348000 ";"2001JJ00";"     1.3";"       5";"       5"
"1488";"348000 ";"2002KW01";"     1.1";"       1";"       1"
"1489";"348000 ";"2002KW02";"     1.4";"       2";"       1"
"1490";"348000 ";"2002KW03";"     0.7";"       1";"       1"
"1491";"348000 ";"2002KW04";"     0.7";"       1";"       1"
"1492";"348000 ";"2002JJ00";"     1.0";"       4";"       5"
"1493";"348000 ";"2003KW01";"     0.8";"       1";"       1"
"1494";"348000 ";"2003KW02";"     0.8";"       1";"       1"
"1495";"348000 ";"2003KW03";"     0.7";"       1";"       1"
"1496";"348000 ";"2003KW04";"     0.7";"       1";"       1"
"1497";"348000 ";"2003JJ00";"     0.8";"       3";"       4"
"1498";"348000 ";"2004KW01";"     0.7";"       1";"       1"
"1499";"348000 ";"2004KW02";"     1.0";"       1";"       1"
"1500";"348000 ";"2004KW03";"     0.7";"       1";"       1"
"1501";"348000 ";"2004KW04";"     0.5";"       1";"       1"
"1502";"348000 ";"2004JJ00";"     0.7";"       4";"       4"
"1503";"348000 ";"2005KW01";"     0.8";"       1";"       1"
"1504";"348000 ";"2005KW02";"     0.8";"       1";"       1"
"1505";"348000 ";"2005KW03";"     0.6";"       1";"       1"
"1506";"348000 ";"2005KW04";"     0.7";"       1";"       1"
"1507";"348000 ";"2005JJ00";"     0.7";"       4";"       4"
"1508";"348000 ";"2006KW01";"     0.8";"       1";"       1"
"1509";"348000 ";"2006KW02";"     1.0";"       1";"       1"
"1510";"348000 ";"2006KW03";"     0.8";"       1";"       2"
"1511";"348000 ";"2006KW04";"     0.9";"       1";"       1"
"1512";"348000 ";"2006JJ00";"     0.9";"       5";"       5"
"1513";"348000 ";"2007KW01";"     0.9";"       1";"       1"
"1514";"348000 ";"2007KW02";"     1.0";"       1";"       1"
"1515";"348000 ";"2007KW03";"     1.0";"       1";"       1"
"1516";"348000 ";"2007KW04";"     0.9";"       1";"       1"
"1517";"348000 ";"2007JJ00";"     1.0";"       5";"       5"
"1518";"348000 ";"2008KW01";"     1.2";"       2";"       1"
"1519";"348000 ";"2008KW02";"     1.5";"       2";"       2"
"1520";"348000 ";"2008KW03";"     1.2";"       1";"       2"
"1521";"348000 ";"2008KW04";"     1.0";"       1";"       1"
"1522";"348000 ";"2008JJ00";"     1.2";"       6";"       6"
"1523";"348000 ";"2009KW01";"     0.9";"       1";"       1"
"1524";"348000 ";"2009KW02";"     0.8";"       1";"       1"
"1525";"348000 ";"2009KW03";"     0.6";"       0";"       1"
"1526";"348000 ";"2009KW04";"     0.5";"       1";"       1"
"1527";"348000 ";"2009JJ00";"     0.8";"       3";"       4"
"1528";"348000 ";"2010KW01";"     0.7";"       1";"       1"
"1529";"348000 ";"2010KW02";"     0.8";"       1";"       1"
"1530";"348000 ";"2010KW03";"     0.5";"       1";"       1"
"1531";"348000 ";"2010KW04";"     0.6";"       1";"       0"
"1532";"348000 ";"2010JJ00";"     0.6";"       3";"       3"
"1533";"348000 ";"2011KW01";"     0.5";"       1";"       1"
"1534";"348000 ";"2011KW02";"     0.7";"       1";"       1"
"1535";"348000 ";"2011KW03";"     0.5";"       0";"       1"
"1536";"348000 ";"2011KW04";"     0.6";"       1";"       1"
"1537";"348000 ";"2011JJ00";"     0.6";"       3";"       3"
"1538";"348000 ";"2012KW01";"     0.5";"       1";"       1"
"1539";"348000 ";"2012KW02";"     0.3";"       0";"       1"
"1540";"348000 ";"2012KW03";"     0.4";"       1";"       0"
"1541";"348000 ";"2012KW04";"     0.3";"       0";"       0"
"1542";"348000 ";"2012JJ00";"     0.4";"       2";"       2"
"1543";"348000 ";"2013KW01";"     0.2";"       0";"       0"
"1544";"348000 ";"2013KW02";"     0.3";"       0";"       0"
"1545";"348000 ";"2013KW03";"     0.3";"       0";"       0"
"1546";"348000 ";"2013KW04";"     0.4";"       1";"       0"
"1547";"348000 ";"2013JJ00";"     0.3";"       2";"       1"
"1548";"348000 ";"2014KW01";"     0.6";"       1";"       1"
"1549";"348000 ";"2014KW02";"     0.3";"       0";"       1"
"1550";"348000 ";"2014KW03";"     0.3";"       0";"       0"
"1551";"348000 ";"2014KW04";"     0.3";"       0";"       0"
"1552";"348000 ";"2014JJ00";"     0.4";"       2";"       2"
"1553";"348000 ";"2015KW01";"     0.4";"       1";"       1"
"1554";"348000 ";"2015KW02";"     0.5";"       1";"       1"
"1555";"348000 ";"2015KW03";"     0.5";"       1";"       1"
"1556";"348000 ";"2015KW04";"     0.5";"       1";"       1"
"1557";"348000 ";"2015JJ00";"     0.4";"       2";"       2"
"1558";"348000 ";"2016KW01";"     0.5";"       1";"       1"
"1559";"348000 ";"2016KW02";"     0.6";"       1";"       1"
"1560";"348000 ";"2016KW03";"     0.5";"       1";"       1"
"1561";"348000 ";"2016KW04";"     0.6";"       1";"       1"
"1562";"348000 ";"2016JJ00";"     0.6";"       3";"       3"
"1563";"348000 ";"2017KW01";"     0.8";"       1";"       1"
"1564";"348000 ";"2017KW02";"     0.8";"       1";"       1"
"1565";"348000 ";"2017KW03";"     0.9";"       1";"       1"
"1566";"348000 ";"2017KW04";"     0.9";"       1";"       1"
"1567";"348000 ";"2017JJ00";"     0.8";"       4";"       4"
"1568";"348000 ";"2018KW01";"     1.2";"       1";"       1"
"1569";"348000 ";"2018KW02";"     1.2";"       1";"       1"
"1570";"348000 ";"2018KW03";"     1.2";"       1";"       1"
"1571";"348000 ";"2018KW04";"     1.1";"       1";"       1"
"1572";"348000 ";"2018JJ00";"     1.2";"       4";"       4"
"1573";"348000 ";"2019KW01";"     1.0";"       1";"       1"
"1574";"348000 ";"2019KW02";"     0.9";"       1";"       1"
"1575";"348000 ";"2019KW03";"     1.2";"       1";"       1"
"1576";"348000 ";"2019KW04";"     1.2";"       1";"       1"
"1577";"348000 ";"2019JJ00";"     1.1";"       4";"       4"
"1578";"348000 ";"2020KW01";"     0.8";"       1";"       1"
"1579";"348000 ";"2020KW02";"     0.9";"       1";"       1"
"1580";"348000 ";"2020KW03";"     1.0";"       1";"       1"
"1581";"348000 ";"2020KW04";"     1.1";"       1";"       1"
"1582";"348000 ";"2020JJ00";"     1.0";"       4";"       4"
"1583";"348000 ";"2021KW01";"     0.9";"       1";"       1"
"1584";"348000 ";"2021KW02";"     1.3";"       1";"       1"
"1585";"348000 ";"2021KW03";"     1.5";"       1";"       1"
"1586";"348000 ";"2021KW04";"     1.6";"       1";"       1"
"1587";"348000 ";"2021JJ00";"     1.2";"       5";"       4"
"1588";"348000 ";"2022KW01";"     2.0";"       2";"       1"
"1589";"348000 ";"2022KW02";"     2.0";"       1";"       1"
"1590";"348000 ";"2022KW03";"     2.1";"       2";"       1"
"1591";"348000 ";"2022KW04";"     2.0";"       1";"       1"
"1592";"348000 ";"2022JJ00";"     2.0";"       6";"       6"
"1593";"348000 ";"2023KW01";"     1.8";"       1";"       1"
"1594";"348000 ";"2023KW02";"     1.8";"       1";"       1"
"1595";"348000 ";"2023KW03";"     1.7";"       1";"       1"
"1596";"350000 ";"1997KW01";"     6.2";"      12";"      11"
"1597";"350000 ";"1997KW02";"     8.4";"      21";"      19"
"1598";"350000 ";"1997KW03";"     6.3";"      12";"      14"
"1599";"350000 ";"1997KW04";"     7.5";"      11";"      10"
"1600";"350000 ";"1997JJ00";"       .";"      56";"      53"
"1601";"350000 ";"1998KW01";"     8.6";"      17";"      16"
"1602";"350000 ";"1998KW02";"    10.3";"      20";"      18"
"1603";"350000 ";"1998KW03";"     8.6";"      12";"      13"
"1604";"350000 ";"1998KW04";"     9.5";"      11";"      10"
"1605";"350000 ";"1998JJ00";"     9.0";"      60";"      58"
"1606";"350000 ";"1999KW01";"    12.6";"      22";"      19"
"1607";"350000 ";"1999KW02";"    18.5";"      24";"      19"
"1608";"350000 ";"1999KW03";"    14.8";"      13";"      17"
"1609";"350000 ";"1999KW04";"    14.2";"      13";"      14"
"1610";"350000 ";"1999JJ00";"    14.5";"      73";"      68"
"1611";"350000 ";"2000KW01";"    21.6";"      27";"      19"
"1612";"350000 ";"2000KW02";"    21.0";"      19";"      20"
"1613";"350000 ";"2000KW03";"    17.1";"      14";"      18"
"1614";"350000 ";"2000KW04";"    16.9";"      15";"      15"
"1615";"350000 ";"2000JJ00";"    18.8";"      75";"      72"
"1616";"350000 ";"2001KW01";"    20.1";"      22";"      19"
"1617";"350000 ";"2001KW02";"    20.4";"      16";"      15"
"1618";"350000 ";"2001KW03";"    14.6";"      13";"      18"
"1619";"350000 ";"2001KW04";"    14.8";"      12";"      12"
"1620";"350000 ";"2001JJ00";"    17.7";"      62";"      64"
"1621";"350000 ";"2002KW01";"    16.0";"      15";"      14"
"1622";"350000 ";"2002KW02";"    14.4";"      13";"      15"
"1623";"350000 ";"2002KW03";"     7.0";"       7";"      14"
"1624";"350000 ";"2002KW04";"     6.9";"       7";"       7"
"1625";"350000 ";"2002JJ00";"    12.1";"      43";"      51"
"1626";"350000 ";"2003KW01";"     8.4";"      12";"      11"
"1627";"350000 ";"2003KW02";"     8.2";"      11";"      11"
"1628";"350000 ";"2003KW03";"     4.0";"       6";"      10"
"1629";"350000 ";"2003KW04";"     4.5";"       6";"       5"
"1630";"350000 ";"2003JJ00";"     6.6";"      34";"      36"
"1631";"350000 ";"2004KW01";"     6.7";"      10";"       8"
"1632";"350000 ";"2004KW02";"     8.5";"      13";"      11"
"1633";"350000 ";"2004KW03";"     6.5";"       9";"      11"
"1634";"350000 ";"2004KW04";"     7.3";"      10";"       9"
"1635";"350000 ";"2004JJ00";"     6.9";"      41";"      39"
"1636";"350000 ";"2005KW01";"     9.7";"      14";"      12"
"1637";"350000 ";"2005KW02";"    10.0";"      14";"      14"
"1638";"350000 ";"2005KW03";"    10.5";"      13";"      13"
"1639";"350000 ";"2005KW04";"    11.4";"      13";"      12"
"1640";"350000 ";"2005JJ00";"     9.9";"      55";"      51"
